gene,total_wt1_IFNb,total_wt1,total_wt2_IFNb,total_wt2,total_wt3_IFNb,total_wt3,total_wt4_IFNb,total_wt4
ENSMUSG00000092083,1,0,2,1,3,1,2,4
ENSMUSG00000102937,0,0,0,0,0,0,0,0
ENSMUSG00000104149,0,0,0,0,0,0,0,0
ENSMUSG00000088829,0,0,0,0,0,0,0,0
ENSMUSG00000077377,0,0,0,0,0,0,0,0
ENSMUSG00000101652,0,0,1,0,1,0,0,1
ENSMUSG00000100814,0,0,0,0,0,0,0,0
ENSMUSG00000025925,96,112,81,101,86,22,53,88
ENSMUSG00000104379,0,2,2,0,0,0,0,2
ENSMUSG00000032719,0,0,2,1,0,0,0,0
ENSMUSG00000088943,0,0,0,0,0,0,0,0
ENSMUSG00000100652,2,1,0,0,1,0,0,0
ENSMUSG00000067795,24,9,19,5,21,0,15,10
ENSMUSG00000043716,3272,2830,2304,1382,3246,478,1426,1671
ENSMUSG00000025921,205,183,191,112,250,40,116,141
ENSMUSG00000104165,0,0,0,0,0,0,0,0
ENSMUSG00000100868,0,0,0,1,1,0,1,1
ENSMUSG00000025920,159,151,126,134,164,28,72,120
ENSMUSG00000089982,0,0,0,0,1,2,0,0
ENSMUSG00000025939,190,161,176,122,292,36,107,151
ENSMUSG00000102457,1,3,3,15,1,0,2,5
ENSMUSG00000079658,374,353,296,294,510,68,194,261
ENSMUSG00000097744,0,0,1,0,0,0,1,0
ENSMUSG00000100959,0,0,0,0,0,0,0,0
ENSMUSG00000025940,244,262,230,244,349,47,150,205
ENSMUSG00000025779,98,49,95,37,83,10,64,37
ENSMUSG00000100093,1,0,0,0,0,0,0,0
ENSMUSG00000091020,1,1,2,0,1,0,0,1
ENSMUSG00000101640,0,0,0,0,0,0,0,0
ENSMUSG00000104133,0,0,0,0,0,0,0,0
ENSMUSG00000042686,3,0,0,5,8,0,2,5
ENSMUSG00000100110,0,0,0,0,0,0,0,0
ENSMUSG00000025777,18,28,25,26,43,9,14,21
ENSMUSG00000099899,0,0,0,0,0,0,0,0
ENSMUSG00000100272,0,0,0,0,0,0,0,0
ENSMUSG00000100398,0,0,0,0,0,0,0,0
ENSMUSG00000101589,0,0,0,0,1,0,0,0
ENSMUSG00000102048,1,1,2,0,1,1,0,1
ENSMUSG00000089534,0,0,0,0,0,0,0,0
ENSMUSG00000067780,1,0,0,0,0,0,0,0
ENSMUSG00000100053,0,0,0,0,0,0,0,0
ENSMUSG00000085125,0,0,0,0,0,0,0,0
ENSMUSG00000025776,0,0,0,0,0,0,0,0
ENSMUSG00000099895,0,0,0,0,0,0,0,0
ENSMUSG00000100554,0,0,0,0,0,0,0,0
ENSMUSG00000099473,0,0,0,0,0,0,0,0
ENSMUSG00000099591,0,1,0,0,0,0,0,0
ENSMUSG00000109887,0,0,0,0,0,0,0,0
ENSMUSG00000102001,0,0,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,0,0,0,0,0
ENSMUSG00000025774,0,0,0,0,0,0,0,0
ENSMUSG00000070977,0,0,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0,0,0
ENSMUSG00000067773,0,0,0,0,0,0,0,0
ENSMUSG00000101685,0,0,0,0,1,0,0,0
ENSMUSG00000101306,0,0,0,0,0,0,0,0
ENSMUSG00000088800,0,0,0,0,0,0,0,0
ENSMUSG00000101644,0,0,0,0,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0,0,0
ENSMUSG00000089787,0,0,0,0,0,0,0,0
ENSMUSG00000042596,0,0,0,0,0,0,0,0
ENSMUSG00000100720,0,0,0,0,0,0,0,0
ENSMUSG00000025927,0,0,0,0,0,0,0,0
ENSMUSG00000100538,0,0,0,0,0,0,0,0
ENSMUSG00000101117,0,0,0,0,0,0,0,0
ENSMUSG00000100204,3,2,2,0,1,0,0,1
ENSMUSG00000084668,0,0,0,0,0,0,0,0
ENSMUSG00000102597,0,0,0,0,0,0,0,0
ENSMUSG00000043760,0,0,1,0,2,0,1,1
ENSMUSG00000104095,0,0,0,0,0,0,0,0
ENSMUSG00000089914,0,0,0,0,0,0,0,0
ENSMUSG00000090142,0,0,0,0,0,0,0,0
ENSMUSG00000070175,0,0,0,0,0,0,0,0
ENSMUSG00000099906,0,0,0,0,0,0,0,0
ENSMUSG00000065559,0,0,0,0,0,0,0,0
ENSMUSG00000065480,0,0,0,0,0,0,0,0
ENSMUSG00000025929,0,0,0,0,0,0,0,0
ENSMUSG00000041872,0,0,0,0,0,0,0,0
ENSMUSG00000041859,1102,3766,936,2021,1885,776,626,2696
ENSMUSG00000099714,0,0,0,0,0,0,0,0
ENSMUSG00000102121,0,0,0,0,0,0,0,0
ENSMUSG00000088858,0,0,0,0,0,0,0,0
ENSMUSG00000097934,3,5,2,1,3,1,1,5
ENSMUSG00000025931,1811,1102,1547,835,1477,254,1047,959
ENSMUSG00000077314,1,0,0,0,2,0,0,0
ENSMUSG00000100929,1,0,1,0,0,0,0,0
ENSMUSG00000041809,20,6,16,6,16,4,10,12
ENSMUSG00000041779,468,483,466,595,561,123,359,431
ENSMUSG00000099971,1,0,2,0,1,0,0,0
ENSMUSG00000100819,5,2,0,1,2,0,3,3
ENSMUSG00000025933,93,99,123,35,136,18,56,63
ENSMUSG00000102633,0,0,0,0,0,0,0,0
ENSMUSG00000025934,1,2,6,0,6,0,1,3
ENSMUSG00000099343,0,0,0,0,1,0,0,0
ENSMUSG00000096375,0,0,0,0,0,0,0,0
ENSMUSG00000025936,0,0,0,0,0,0,0,0
ENSMUSG00000093963,0,0,0,0,0,0,0,0
ENSMUSG00000067750,0,0,0,0,0,0,0,0
ENSMUSG00000086194,0,0,0,0,0,0,0,0
ENSMUSG00000094436,0,0,0,0,0,0,0,0
ENSMUSG00000041722,0,0,0,0,0,0,0,0
ENSMUSG00000085507,0,0,0,0,0,0,0,0
