,gene_name,gene_id
232,Mfsd6,ENSMUSG00000041439.15
233,Inpp1,ENSMUSG00000026102.9
234,Hibch,ENSMUSG00000041426.12
235,1700019D03Rik,ENSMUSG00000043629.12
236,Mstn,ENSMUSG00000026100.6
237,1700019A02Rik,ENSMUSG00000060715.9
238,Pms1,ENSMUSG00000026098.13
239,Ormdl1,ENSMUSG00000026097.9
240,Osgepl1,ENSMUSG00000026096.14
241,Asnsd1,ENSMUSG00000026095.15
242,Dnah7a,ENSMUSG00000096141.2
243,Stk17b,ENSMUSG00000026094.14
244,Hecw2,ENSMUSG00000042807.15
245,Ccdc150,ENSMUSG00000025983.11
246,Gtf3c3,ENSMUSG00000041303.7
247,Pgap1,ENSMUSG00000073678.4
248,Ankrd44,ENSMUSG00000052331.14
249,Sf3b1,ENSMUSG00000025982.13
250,Coq10b,ENSMUSG00000025981.13
251,Hspd1,ENSMUSG00000025980.14
252,Hspe1,ENSMUSG00000073676.4
253,Mob4,ENSMUSG00000025979.13
254,Rftn2,ENSMUSG00000025978.14
255,Gm10561,ENSMUSG00000097649.2
256,Mars2,ENSMUSG00000046994.9
257,Boll,ENSMUSG00000025977.15
258,Plcl1,ENSMUSG00000038349.10
259,Satb2,ENSMUSG00000038331.15
260,BC055402,ENSMUSG00000101429.1
261,4930558J18Rik,ENSMUSG00000097519.2
262,1700066M21Rik,ENSMUSG00000038323.3
263,Tyw5,ENSMUSG00000048495.16
264,Maip1,ENSMUSG00000025971.6
265,Spats2l,ENSMUSG00000038305.15
266,Kctd18,ENSMUSG00000054770.16
267,Sgo2a,ENSMUSG00000026039.9
268,Aox1,ENSMUSG00000063558.4
269,Aox3,ENSMUSG00000064294.12
270,Aox4,ENSMUSG00000038242.12
271,Aox2,ENSMUSG00000079554.2
272,Bzw1,ENSMUSG00000051223.14
273,Clk1,ENSMUSG00000026034.17
274,Ppil3,ENSMUSG00000026035.15
275,Nif3l1,ENSMUSG00000026036.17
276,Orc2,ENSMUSG00000026037.14
277,Gm15834,ENSMUSG00000085054.2
278,Fam126b,ENSMUSG00000038174.14
279,Ndufb3,ENSMUSG00000026032.8
280,Flacc1,ENSMUSG00000047528.13
281,Cflar,ENSMUSG00000026031.15
282,Casp8,ENSMUSG00000026029.14
283,Trak2,ENSMUSG00000026028.12
284,Stradb,ENSMUSG00000026027.13
285,C2cd6,ENSMUSG00000072295.7
286,Tmem237,ENSMUSG00000038079.14
287,G730003C15Rik,ENSMUSG00000097573.2
288,Mpp4,ENSMUSG00000079550.9
289,Als2,ENSMUSG00000026024.14
290,Cdk15,ENSMUSG00000026023.16
291,Fzd7,ENSMUSG00000041075.8
292,Gm26813,ENSMUSG00000097819.1
293,Gm973,ENSMUSG00000047361.16
294,Sumo1,ENSMUSG00000026021.15
295,Nop58,ENSMUSG00000026020.9
296,Bmpr2,ENSMUSG00000067336.6
297,Fam117b,ENSMUSG00000041040.12
298,Ica1l,ENSMUSG00000026018.12
299,Wdr12,ENSMUSG00000026019.15
300,Carf,ENSMUSG00000026017.13
301,Nbeal1,ENSMUSG00000073664.11
302,Cyp20a1,ENSMUSG00000049439.13
303,Abi2,ENSMUSG00000026782.15
304,Raph1,ENSMUSG00000026014.15
305,Cd28,ENSMUSG00000026012.2
306,Icos,ENSMUSG00000026009.14
307,9530026F06Rik,ENSMUSG00000085447.1
308,Pard3b,ENSMUSG00000052062.14
309,Nrp2,ENSMUSG00000025969.15
310,Gm29083,ENSMUSG00000100811.1
311,Ino80d,ENSMUSG00000040865.15
312,Ino80dos,ENSMUSG00000084799.7
313,Ndufs1,ENSMUSG00000025968.16
314,Eef1b2,ENSMUSG00000025967.16
315,Gpr1,ENSMUSG00000046856.13
316,Gm11608,ENSMUSG00000087561.7
317,Zdbf2,ENSMUSG00000027520.15
318,Adam23,ENSMUSG00000025964.15
319,Mdh1b,ENSMUSG00000025963.5
320,Fastkd2,ENSMUSG00000025962.15
321,4933402D24Rik,ENSMUSG00000025961.1
322,Klf7,ENSMUSG00000025959.13
323,Gm28981,ENSMUSG00000101895.1
324,Creb1,ENSMUSG00000025958.14
325,Mettl21a,ENSMUSG00000025956.10
326,Gm28982,ENSMUSG00000101832.1
327,2810408I11Rik,ENSMUSG00000087213.2
328,Ccnyl1,ENSMUSG00000070871.10
329,Fzd5,ENSMUSG00000045005.9
330,Plekhm3,ENSMUSG00000051344.13
331,Cryga,ENSMUSG00000044429.8
332,D630023F18Rik,ENSMUSG00000044816.10
333,Idh1,ENSMUSG00000025950.16
334,Pikfyve,ENSMUSG00000025949.16
335,Pth2r,ENSMUSG00000025946.13
336,Map2,ENSMUSG00000015222.17
337,Unc80,ENSMUSG00000055567.18
338,Rpe,ENSMUSG00000026005.15
339,Kansl1l,ENSMUSG00000026004.15
340,Acadl,ENSMUSG00000026003.5
341,Myl1,ENSMUSG00000061816.15
342,Lancl1,ENSMUSG00000026000.16
343,Cps1,ENSMUSG00000025991.8
344,Gm15671,ENSMUSG00000087329.3
345,Erbb4,ENSMUSG00000062209.15
346,Gm28497,ENSMUSG00000099804.1
347,Gm29113,ENSMUSG00000100354.1
348,Ikzf2,ENSMUSG00000025997.13
349,Spag16,ENSMUSG00000053153.14
350,Vwc2l,ENSMUSG00000045648.15
351,Bard1,ENSMUSG00000026196.7
352,Abca12,ENSMUSG00000050296.14
353,Atic,ENSMUSG00000026192.13
354,Fn1,ENSMUSG00000026193.15
